Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
RMS005	0.0503454750425532	0	0.034038918768923	0	0.115360524110696	0.177751736164971	0	0	0	0.0905055365287397	0.0589284123228655	0	0.109359437280283	0.233120837196853	0.0364110563407425	0.769683462621033	0.0208321628789596	0.019102950979679	0	0.0780548600661101	0.313900886320554	0.567326049397439	0	0.420597245357944	0.910076887001914	2.6747223060204
RMS006	0.0212002493351987	0	0.174935326173377	0.154797048666814	0	0.163883492730267	0	0.0441631601613532	0.00491161724815866	0.0538000964887194	0	0.0527358128620823	0.149359723441205	0	0.101725639305221	0.502204747022085	0	0	0	0.0471494545057638	0.0497529223678428	0.0331940702294471	0	0.667401306816841	0.785348868121751	1.55381336053754
RMS009	0	0.0572720024994843	0.247165302931304	0.0711659445578013	0.0241720180004474	0.0193840197591164	0	0.0275934068785422	0	0.020084532001328	0	0.0396106709581224	0.0203761839798958	0	0.0590080845209013	0.314518696127067	0.0113567814365473	0	0.013615059429439	0.0148849863765278	0.00811380637192827	0	0	0.677031627315889	0.760535820606669	0.948321495828452
RMS010	0.0226077691237803	0.0118285632198646	0.111643168626198	0.0812443490900595	0	0.145089629945118	0	0.053794379800854	0.0145981671119522	0	0	0.0472277820886466	0.0273862172991383	0.0621243839192207	0.0647283148114055	0.484898223985048	0.00212040610175451	0.0106511649208127	0.0173692617184485	0.0474886562298177	0.0298116544356576	0.0401555734237917	0	0.697899925365132	0.766690785984656	1.27476766585157
RMS012	0.00224113123346208	0.0189788252814016	0.429423706288466	0.0485421552437667	0	0.0541033659506566	0	0.0450154989420936	0.0180917561905615	0.0094469207115104	0.0146940437324201	0.00574012103646534	0	0.165872523640942	0.0194200988116495	0.373004144586834	0	0.0417379155896286	0	0.0514586840046349	0	0.0899700977974498	0	0.721148485847149	0.72324258810508	1.38774098904194
RMS015	0	0.0397055195222905	0.0330536311885671	0.0645322477418784	0	0.033880512710607	0	0.0382995872466728	0.00963112107154807	0.00703130061458002	0	0.0551057746464648	0	0.112360205220982	0.0380600823555111	0.489586031577834	0	0	0	0.0470074838109969	0	0.0101224965165593	0	0.769149866351202	0.695638748532945	0.978375994224492
RMS017	0	0.0319755608878687	0.169920394560797	0.053131496359475	0	0.14397218734382	0	0.0578565015130399	0	0.0394390819424718	0	0.051553585369697	0.00520884881295659	0.0317317134608282	0.100072022936531	0.404238957672888	0.026820171874545	0	0.00913006707202143	0.039370090446686	0.00370035711925486	0.00929984399769561	0	0.652863001232862	0.788881578105377	1.17742088137058
RMS026	0.0315907312296708	0	0.335029150739232	0.107901777140333	0	0.00940110196276396	0	0.0869345301489493	0.00536343445553467	0	0	0.0552013177260147	0.000814367938340971	0.135558333900047	0.0733539066319938	0.34007549031806	0.0066246476117202	0	0.0235874632721908	0.0103034167305936	0.00401190267673935	0	0	0.665761944045938	0.766221996856088	1.22575157248218
RMS027	0	0.0562394310230266	0.0703841283568344	0.053187166584918	0	0.0789799960269418	0	0.0360664143982859	0	0.025997021450524	0	0.0456880334575809	0.0191614081206731	0	0.023900450493044	0.414701409950097	0.0159846828634447	0.0119645853007196	0.171895223677127	0	0	0.00792959267087013	0	0.551521679513222	0.845653949535129	1.03207954437409
RMS029	0	0.0286482574928082	0.039525770127521	0.0981918458516357	0	0.157833619006299	0.00250984569483868	0.0181123048576169	0	0	0.022118604239508	0.00686892229571963	0.0434793984574984	0.205527821752594	0.0305853420655902	0.312939578243563	0	0.0703574831095815	0	0.23408180293846	0.000787484139387666	0.429016683354969	0	0.466492502185022	0.885109171948496	1.70058476362759
RMS032	0.0393306498955276	0	0.23277438285257	0.0887784146728563	0	0.106201907563907	0	0.0603949592403471	0.0117544179381071	0.00643244906452169	0.0191463736815008	0.00283742560264947	0	0.235560393924096	0.104491158811509	0.332398382687175	0.0187074749735607	0	0.0116209913032599	0.0214373802798262	0	0	0	0.748709807525764	0.723081845758199	1.29186676249141
RMS033	0.0365050879606701	0.131733691911339	0.194133182036258	0.123701672055414	0	0.273474639799875	0	0.0291011359466111	0	0.0192516471651152	0	0.0618068308620232	0.00603472996737223	0.159820806181992	0.225004480759859	0.415921406025954	0.00202736998207948	0	0.0404180263934541	0	0.00158853829454182	0.0148957831200326	0	0.742994062202971	0.732895891047311	1.73541902846259
