	cluster
RMS005	RMS005	1
RMS006	RMS006	1
RMS009	RMS009	2
RMS010	RMS010	1
RMS012	RMS012	1
RMS015	RMS015	1
RMS017	RMS017	1
RMS026	RMS026	2
RMS027	RMS027	1
RMS029	RMS029	1
RMS032	RMS032	1
RMS033	RMS033	1
RMS034	RMS034	1
RMS035	RMS035	1
RMS038	RMS038	1
RMS039	RMS039	1
RMS041	RMS041	1
RMS042	RMS042	2
RMS043	RMS043	1
RMS046	RMS046	1
RMS049	RMS049	1
RMS050	RMS050	1
RMS051	RMS051	1
RMS052	RMS052	1
RMS054	RMS054	1
RMS055	RMS055	2
RMS057	RMS057	1
RMS058	RMS058	1
RMS060	RMS060	1
RMS064	RMS064	1
RMS067	RMS067	1
RMS075	RMS075	1
RMS076	RMS076	1
RMS078	RMS078	1
RMS080	RMS080	1
RMS081	RMS081	1
RMS082	RMS082	1
RMS084	RMS084	1
RMS085	RMS085	1
RMS087	RMS087	1
RMS090	RMS090	1
RMS091	RMS091	1
RMS092	RMS092	1
RMS093	RMS093	1
RMS094	RMS094	1
RMS096	RMS096	1
RMS100	RMS100	1
RMS102	RMS102	1
RMS104	RMS104	1
RMS105	RMS105	2
RMS106	RMS106	2
RMS109	RMS109	2
RMS110	RMS110	1
RMS111	RMS111	1
RMS112	RMS112	1
RMS113	RMS113	1
RMS114	RMS114	1
RMS116	RMS116	1
RMS117	RMS117	1
RMS118	RMS118	2
RMS120	RMS120	1
RMS123	RMS123	1
RMS130	RMS130	1
RMS131	RMS131	1
RMS132	RMS132	2
RMS133	RMS133	1
RMS134	RMS134	1
RMS136	RMS136	1
RMS138	RMS138	1
RMS139	RMS139	1
RMS141	RMS141	1
RMS142	RMS142	2
RMS143	RMS143	1
RMS144	RMS144	1
RMS148	RMS148	1
RMS149	RMS149	2
RMS151	RMS151	2
RMS152	RMS152	1
RMS153	RMS153	1
RMS155	RMS155	1
RMS156	RMS156	1
RMS157	RMS157	2
RMS158	RMS158	1
RMS159	RMS159	1
RMS160	RMS160	1
RMS307	RMS307	1
RMS308	RMS308	1
RMS311	RMS311	1
RMS316	RMS316	1
RMS317	RMS317	1
RMS321	RMS321	1
RMS323	RMS323	1
RMS324	RMS324	2
RMS326	RMS326	1
RMS329	RMS329	1
RMS342	RMS342	1
RMS353	RMS353	1
RMS357	RMS357	1
RMS358	RMS358	1
RMS362	RMS362	1
RMS363	RMS363	1
T1	T1	1
T10	T10	1
T11	T11	1
T12	T12	1
T13	T13	1
T14	T14	1
T15	T15	1
T16	T16	1
T2	T2	1
T3	T3	1
T4	T4	2
T5	T5	1
T6	T6	1
T7	T7	1
T8	T8	1
T9	T9	1
LMS104	LMS104	2
LMS105	LMS105	2
LMS109	LMS109	2
LMS111	LMS111	2
LMS148L	LMS148L	2
LMS24	LMS24	2
LMS29	LMS29	2
LMS41	LMS41	2
LMS55	LMS55	1
LMS76	LMS76	2
LMS77	LMS77	1
LMS78	LMS78	1
LMS79	LMS79	1
LMS80	LMS80	2
LMS82	LMS82	1
LMS83	LMS83	2
LMS86	LMS86	1
S10	S10	1
S11	S11	1
S118	S118	1
S137	S137	1
S144	S144	1
S19	S19	1
S21	S21	1
S29	S29	1
S53	S53	1
S67	S67	1
S69	S69	1
S71	S71	1
S73	S73	1
S80	S80	1
S81	S81	1
S92	S92	1
RA-13	RA-13	1
RA-14	RA-14	1
RA-15	RA-15	1
RA-18	RA-18	2
RA-20	RA-20	1
RA-21	RA-21	1
RA-22	RA-22	1
RA-23	RA-23	2
RA-24	RA-24	1
RA-4	RA-4	1
RA-5	RA-5	1
RA-6	RA-6	1
RA-7	RA-7	1
GSM338412	GSM338412	2
GSM338963	GSM338963	1
GSM338965	GSM338965	2
GSM338967	GSM338967	2
GSM338969	GSM338969	1
GSM338971	GSM338971	1
GSM338982	GSM338982	1
GSM371114	GSM371114	2
GSM371115	GSM371115	1
GSM371116	GSM371116	2
GSM371117	GSM371117	1
GSM371118	GSM371118	2
GSM371119	GSM371119	2
GSM371120	GSM371120	1
GSM371121	GSM371121	2
GSM371122	GSM371122	1
GSM371123	GSM371123	1
GSM371124	GSM371124	2
GSM371125	GSM371125	1
GSM371126	GSM371126	2
GSM371127	GSM371127	2
GSM371128	GSM371128	2
GSM371129	GSM371129	2
GSM371130	GSM371130	1
GSM371131	GSM371131	1
GSM371132	GSM371132	2
GSM371133	GSM371133	1
GSM371134	GSM371134	1
GSM371135	GSM371135	2
GSM371136	GSM371136	1
GSM371137	GSM371137	1
GSM371138	GSM371138	2
GSM371139	GSM371139	2
GSM371140	GSM371140	1
GSM439889	GSM439889	1
GSM439891	GSM439891	1
GSM439896	GSM439896	2
GSM439897	GSM439897	2
GSM439898	GSM439898	1
GSM439904	GSM439904	1
GSM439908	GSM439908	1
GSM439913	GSM439913	2
GSM439914	GSM439914	2
GSM439915	GSM439915	1
GSM439916	GSM439916	2
GSM439920	GSM439920	1
GSM439921	GSM439921	2
GSM439922	GSM439922	1
GSM439924	GSM439924	1
GSM439925	GSM439925	2
GSM439926	GSM439926	2
GSM439928	GSM439928	1
GSM439886	GSM439886	2
GSM439887	GSM439887	1
GSM439888	GSM439888	2
GSM439890	GSM439890	2
GSM439892	GSM439892	1
GSM439893	GSM439893	2
GSM439894	GSM439894	2
GSM439895	GSM439895	1
GSM439899	GSM439899	2
GSM439900	GSM439900	2
GSM439901	GSM439901	1
GSM439902	GSM439902	1
GSM439903	GSM439903	2
GSM439905	GSM439905	2
GSM439906	GSM439906	2
GSM439907	GSM439907	2
GSM439909	GSM439909	2
GSM439910	GSM439910	2
GSM439911	GSM439911	1
GSM439912	GSM439912	2
GSM439917	GSM439917	1
GSM439918	GSM439918	1
GSM439919	GSM439919	1
GSM439923	GSM439923	2
GSM439927	GSM439927	1
GSM439929	GSM439929	1
GSM506622	GSM506622	2
GSM506623	GSM506623	2
GSM506624	GSM506624	2
GSM506625	GSM506625	2
GSM506626	GSM506626	2
GSM506627	GSM506627	2
GSM506628	GSM506628	2
GSM506629	GSM506629	2
GSM506630	GSM506630	2
GSM506631	GSM506631	2
GSM506632	GSM506632	2
GSM506633	GSM506633	1
GSM506634	GSM506634	2
GSM506635	GSM506635	2
GSM506636	GSM506636	2
GSM506637	GSM506637	2
GSM506638	GSM506638	2
GSM506639	GSM506639	2
GSM506640	GSM506640	2
GSM506641	GSM506641	2
GSM506642	GSM506642	2
GSM506643	GSM506643	2
GSM506644	GSM506644	2
GSM506645	GSM506645	2
GSM506646	GSM506646	2
GSM506647	GSM506647	2
GSM506648	GSM506648	2
GSM506649	GSM506649	1
GSM506650	GSM506650	2
GSM506651	GSM506651	2
GSM506652	GSM506652	2
GSM506653	GSM506653	2
GSM506654	GSM506654	2
GSM506655	GSM506655	2
GSM482872	GSM482872	2
GSM482987	GSM482987	2
GSM482988	GSM482988	2
GSM482989	GSM482989	2
GSM482990	GSM482990	1
GSM482991	GSM482991	2
GSM484715	GSM484715	2
GSM484716	GSM484716	1
GSM484717	GSM484717	2
GSM484718	GSM484718	2
GSM484719	GSM484719	1
GSM484720	GSM484720	1
GSM484721	GSM484721	1
GSM484722	GSM484722	1
GSM484723	GSM484723	1
GSM484724	GSM484724	1
GSM484725	GSM484725	1
